method,train_set,test_set,scenario,error
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.8625137789164072
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.8625137789164072
centroid,POCO#STANDING,POCO#STANDING,auto,2.0100721880700223
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.0100721880700223
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.0100721880700223
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.0100721880700223
centroid,POCO#STANDING,POCO#STANDING,auto,1.3548784746086815
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.3548784746086815
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.3548784746086815
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.3548784746086815
centroid,POCO#STANDING,POCO#STANDING,auto,1.3129768098835912
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.3129768098835912
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.3129768098835912
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.3129768098835912
centroid,POCO#STANDING,POCO#STANDING,auto,0.810647640252582
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,0.810647640252582
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,0.810647640252582
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,0.810647640252582
centroid,POCO#STANDING,POCO#STANDING,auto,2.903320910834232
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.903320910834232
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.903320910834232
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.903320910834232
centroid,POCO#STANDING,POCO#STANDING,auto,1.101723048654876
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.101723048654876
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.101723048654876
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.101723048654876
centroid,POCO#STANDING,POCO#STANDING,auto,1.3525408032780613
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.3525408032780613
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.3525408032780613
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.3525408032780613
centroid,POCO#STANDING,POCO#STANDING,auto,1.2980730625995915
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.2980730625995915
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.2980730625995915
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.2980730625995915
centroid,POCO#STANDING,POCO#STANDING,auto,1.2983811854208636
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.2983811854208636
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.2983811854208636
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.2983811854208636
centroid,POCO#STANDING,POCO#STANDING,auto,2.3507541929569475
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.3507541929569475
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.3507541929569475
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.3507541929569475
centroid,POCO#STANDING,POCO#STANDING,auto,2.283923576548559
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.283923576548559
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.283923576548559
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.283923576548559
centroid,POCO#STANDING,POCO#STANDING,auto,2.4783412656634765
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.4783412656634765
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.4783412656634765
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.4783412656634765
centroid,POCO#STANDING,POCO#STANDING,auto,1.3345923579417007
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.3345923579417007
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.3345923579417007
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.3345923579417007
centroid,POCO#STANDING,POCO#STANDING,auto,2.066643329130248
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.066643329130248
